grammar,usage,meaning,examples
〜ずくめ,N + ずくめ,Completely covered in; nothing but (often colors or good/bad events),"黒[くろ]ずくめの男[おとこ]が立っ[たっ]ていた。 / A man completely dressed in black was standing there. / 今年[ことし]はいいことずくめの一年[いちねん]だった。 / This year was a year of nothing but good things."
〜ずにはおかない / 〜ないではおかない,V-nai (drop ない) + ずにはおかない,Cannot help but make someone do; will definitely do (する -> せず),"この映画[えいが]は見る[みる]者[もの]を感動[かんどう]させずにはおかない。 / This movie cannot help but move those who watch it. / 彼[かれ]の態度の[たいどの]悪さ[わるさ]は、人[ひと]を怒ら[おこら]せないではおかない。 / His bad attitude will definitely make people angry."
〜すら / 〜ですら,N + すら / ですら,Even; if only,"彼[かれ]は自分[じぶん]の名前[なまえ]すら書け[かけ]ない。 / He cannot even write his own name. / 専門家[せんもんか]ですら解決[かいけつ]できない問題[もんだい]だ。 / It is a problem that even experts cannot solve."
〜そばから,V-ru / V-た + そばから,As soon as (someone does something, another thing undoes it),"子供[こども]は母親[ははおや]が片付ける[かたづける]そばから、またおもちゃを散らかす[ちらかす]。 / As soon as the mother cleans up, the child scatters the toys again."
〜ただならぬ,N + ただならぬ,Extraordinary; uncommon,"二人[ふたり]の間[あいだ]にはただならぬ雰囲気[ふんいき]が漂っ[ただよっ]ていた。 / An extraordinary atmosphere drifted between the two."
〜たところで,V-た + ところで,Even if (expecting a negative result),"今[いま]から急い[いそい]だところで、もう間に合わ[まにあわ]ない。 / Even if we hurry now, we won't make it in time."
〜だに / 〜だにしない,V-ru / N + だに,Just (doing/thinking) is enough; not even,"地震[じしん]の被害[ひがい]は想像[そうぞう]するだに恐ろしい[おそろしい]。 / The damage of the earthquake is terrifying just to imagine. / 夢[ゆめ]にだに思わ[おもわ]なかった。 / I didn't even think of it in my dreams."
〜たるもの,N + たるもの,As a... (one should do/be a certain way),"教師[きょうし]たるもの、学生[がくせい]の手本[てほん]とならなければならない。 / As a teacher, one must become a role model for students."
〜たりとも,1 + Counter + たりとも,Even (one); not even (one),"1日[いちにち]たりとも休む[やすむ]ことはできない。 / I cannot rest for even one day. / 一滴[いってき]たりとも水[みず]を無駄[むだ]にしてはいけない。 / You must not waste even a single drop of water."
〜つ〜つ,V-masu stem + つ + V-masu stem + つ,Doing A and B interchangeably,"マラソンで、彼[かれ]らは抜き[ぬき]つ抜かれ[ぬかれ]つの接戦[せっせん]を繰り広げた[くりひろげた]。 / In the marathon, they engaged in a close contest of overtaking and being overtaken."
〜であれ / 〜であれ〜であれ,N + であれ,Whoever; whatever; whether A or B,"理由[りゆう]が何[なに]であれ、暴力[ぼうりょく]は許さ[ゆるさ]れない。 / Whatever the reason is, violence is not permitted. / 男[おとこ]であれ女[おんな]であれ、条件[じょうけん]は同じ[おなじ]だ。 / Whether man or woman, the conditions are the same."
〜てからというもの,V-て + からというもの,Ever since (a specific change happened and continues),"彼[かれ]が転校[てんこう]してからというもの、クラスが寂しく[さびしく]なった。 / Ever since he transferred schools, the class has become lonely."
〜てやまない,V-て + やまない,Truly; from the bottom of my heart (never-ending feeling),"皆様[みなさま]の健康[けんこう]とご多幸[たこう]を祈っ[いのっ]てやまない。 / I pray for everyone's health and happiness from the bottom of my heart."
〜と相まって,N + と相まって[あいまって],Coupled with; together with,"彼[かれ]の才能[さいのう]は努力[どりょく]と相まって、素晴らしい[すばらしい]結果[けっか]を生ん[うん]だ。 / His talent, coupled with his effort, produced a wonderful result."
〜とあって,V / N + とあって,Because (a special situation),"今日[きょう]は休日[きゅうじつ]とあって、デパートは大変[たいへん]な人出[ひとで]だ。 / Because today is a holiday, the department store has a huge turnout."
〜とあれば,V / N + とあれば,If it is for; if the situation requires,"家族[かぞく]のためとあれば、どんな苦労[くろう]も我慢[がまん]できる。 / If it is for my family, I can endure any hardship."
〜といったらない / 〜といったらありはしない,Adj / N + といったらない,Incredibly; nothing is more... (extreme degree),"富士山[ふじさん]の頂上[ちょうじょう]から見た[みた]景色[けしき]の美し[うつくし]さといったらない。 / The beauty of the scenery seen from the top of Mt. Fuji is incredible (cannot be expressed in words)."
〜と思いきや,Phrase + と思いきや[おもいきや],I thought... but; contrary to expectations,"テストは簡単[かんたん]だと思いきや、実は[じつは]とても難しかっ[むずしかっ]た。 / I thought the test would be easy, but actually it was very difficult."
〜ときたら,N + ときたら,When it comes to... (usually followed by complaints),"うちの息子[むすこ]ときたら、毎日[まいにち]ゲームばかりしている。 / When it comes to our son, he does nothing but play games every day."
〜ところを,Adj / V / Nの + ところを,Despite the situation; at the time when,"お忙しい[おいそがしい]ところをわざわざお越し[おこし]いただき、ありがとうございます。 / Despite you being busy, thank you for taking the trouble to come."
〜としたところで / 〜としたって,V / N + としたところで,Even if; assuming that (with negative expectation),"今[いま]から急い[いそい]だとしたところで、もう間に合わ[まにあわ]ない。 / Even if we assumed we hurried now, we wouldn't make it in time."
〜とは,Phrase + とは,To think that...; I am surprised that,"彼[かれ]が犯人[はんにん]だったとは、夢[ゆめ]にも思わ[おもわ]なかった。 / To think that he was the culprit, I never even dreamed of it."
〜とばかりに,Phrase / V-imperative + とばかりに,As if to say,"彼[かれ]は「出[で]て行け[いけ]」とばかりにドアを開け[あけ]た。 / He opened the door as if to say 'Get out'."
〜ともなく / 〜ともなしに,V-ru + ともなく,Without really intending to,"テレビを見る[みる]ともなしに見て[みて]いたら、友人[ゆうじん]が映っ[うつっ]て驚い[おどろい]た。 / While watching TV without really intending to, my friend appeared and I was surprised."
〜ながらに / 〜ながらの,N / V-masu stem + ながらに,While staying in the same state (unchanged),"彼[かれ]は涙[なみだ]ながらに事情[じじょう]を説明[せつめい]した。 / He explained the situation while in tears. / 生まれ[うまれ]ながらの才能[さいのう]だ。 / It is a talent one is born with."
〜なくして(は) / 〜なしに(は),N + なくしては / なしには,Without,"皆様[みなさま]の協力[きょうりょく]なくしては、この成功[せいこう]はあり得[え]ませんでした。 / Without everyone's cooperation, this success could not have happened."
〜ならでは,N + ならでは（の）,Only possible with; unique to,"これは当店[とうてん]ならではの特別[とくべつ]なサービスです。 / This is a special service unique only to our store."
〜なり,V-ru + なり,As soon as,"彼[かれ]は部屋[へや]に入る[はいる]なり、ベッドに倒れ込ん[たおれこん]だ。 / As soon as he entered the room, he collapsed onto the bed."
〜なり〜なり,N / V-ru + なり + N / V-ru + なり,Or something (giving examples of options),"分から[わから]ないことがあったら、先生[せんせい]に聞く[きく]なり辞書[じしょ]を引く[ひく]なりしてください。 / If there is something you don't understand, ask the teacher or look it up in a dictionary or something."
〜に足る / 〜に足らない,V-ru / N + に足る[たる] / 足らない[たらない],Worth doing / Not worth doing,"彼[かれ]は信頼[しんらい]するに足る[たる]人物[じんぶつ]だ。 / He is a person worth trusting. / 恐れる[おそれる]に足らない[たらない]相手[あいて]だ。 / An opponent not worth fearing."
〜に堪えない,V-ru / N + に堪えない[たえない],Cannot bear to; awful to,"彼[かれ]の歌[うた]は下手[へた]すぎて、聞く[きく]に堪えない。 / His singing is so bad that it's awful/unbearable to listen to."
〜に堪える,V-ru / N + に堪える[たえる],Worth doing; can stand,"この映画[えいが]は大人[おとな]の鑑賞[かんしょう]に堪える[たえる]作品[さくひん]だ。 / This movie is a work worth the appreciation of adults."
〜にひきかえ,N / Phrase + にひきかえ,In stark contrast to,"兄[あに]が優秀[ゆうしゅう]なことにひきかえ、弟[おとうと]は勉強[べんきょう]を全く[まったく]しない。 / In stark contrast to the older brother being excellent, the younger brother doesn't study at all."
〜にもまして,N + にもまして,Even more than,"以前[いぜん]にもまして、彼[かれ]の日本語[にほんご]は上達[じょうたつ]した。 / Even more than before, his Japanese has improved."
〜の至り,N + の至り[いたり],The utmost limit of; height of (formal feeling),"こんな素晴らしい[すばらしい]賞[しょう]をいただき、光栄[こうえい]の至りです。 / Receiving such a wonderful award is the height of honor."
〜の極み,N + の極み[きわみ],The extreme of; the height of,"徹夜[てつや]続き[つづき]で疲労[ひろう]の極み[きわみ]に達し[たっし]ている。 / Continuing to stay up all night, I have reached the extreme of exhaustion."
〜はおろか,N + はおろか,Let alone; not to mention (often negative),"怪我[けが]のせいで、走る[はしる]ことはおろか、歩く[あるく]ことすらできない。 / Because of the injury, let alone running, I cannot even walk."
〜ばこそ,V-ba / N・na-Adj-であれば + こそ,Precisely because,"あなたを愛していれ[あいしていれ]ばこそ、厳しく[きびしく]叱る[しかる]のです。 / Precisely because I love you, I scold you strictly."
〜ばそれまでだ / 〜たらそれまでだ,V-ba / V-tara + それまでだ,If... that's the end of it; it's all over,"いくらお金[かね]があっても、死ん[しん]でしまえばそれまでだ。 / No matter how much money you have, if you die, that's the end of it."
〜ひとり〜だけでなく / 〜ひとり〜のみならず,ひとり + N + だけでなく,Not only (one person/thing),"この環境[かんきょう]問題[もんだい]は、ひとり日本[にほん]だけでなく世界中[せかいじゅう]の問題[もんだい]だ。 / This environmental problem is not only Japan's problem, but a problem of the whole world."
〜べからず / 〜べからざる,V-ru + べからず / べからざる + N,Must not; should not,"ここにごみを入れる[いれる]べからず。 / You must not throw trash in here. / 学生[がくせい]として許す[ゆるす]べからざる行為[こうい]だ。 / It is an unforgivable act as a student."
〜べく,V-ru + べく,In order to (formal),"試験[しけん]に合格[ごうかく]するべく、毎日[まいにち]猛勉強[もうべんきょう]している。 / In order to pass the exam, I am studying fiercely every day."
〜まじき,V-ru + まじき + N,Must not; unacceptable for (a position),"これはプロとしてあるまじきミスだ。 / This is an unacceptable mistake for a professional to make."
〜まで(のこと)だ,V-ru / V-ta + までだ / までのことだ,Have no choice but to; just / simply did,"バスがないなら、歩い[あるい]て帰る[かえる]までだ。 / If there are no buses, I have no choice but to walk home. / 聞か[きか]れたから、答え[こたえ]たまでのことだ。 / I simply answered because I was asked."
〜までもない / 〜なくとも,V-ru + までもない,There is no need to,"そんなことは、わざわざ言う[いう]までもない。 / There is no need to go out of your way to say such a thing. / 調べる[しらべる]までもなく、答え[こたえ]は分かっ[わかっ]ている。 / Without even needing to check, I know the answer."
〜まみれ,N + まみれ,Covered in (liquid, dirt, debt - always negative),"彼[かれ]は泥[どろ]まみれになってサッカーをしていた。 / He was playing soccer covered in mud. / 借金[しゃっきん]まみれの生活[せいかつ]。 / A life covered in debt."
〜めく / 〜めいた,N + めく / めいた + N,To show signs of; to seem like,"春[はる]めいた風[かぜ]が吹い[ふい]てきた。 / A spring-like wind began to blow. / 謎[なぞ]めいた言葉[ことば]を残し[のこし]て、彼[かれ]は去っ[さっ]た。 / He left behind enigmatic words and departed."
〜もさることながら,N + もさることながら,A is a given, but B is even more so,"あのレストランは味[あじ]もさることながら、サービスが素晴らしい[すばらしい]。 / The taste of that restaurant is a given, but the service is wonderful."
〜ものを,Phrase + ものを,If only... but; although,"もっと早く[はやく]病院[びょういん]に行け[いけ]ばよかったものを、我慢[がまん]したから悪化[あっか]してしまった。 / If only I had gone to the hospital sooner, but because I endured it, it got worse."
〜や / 〜や否や,V-ru + や / や否や[やいなや],As soon as,"彼[かれ]は帰宅[きたく]するや否や、パソコンに向かっ[むかっ]た。 / As soon as he returned home, he faced his computer."
〜ゆえ(に) / 〜ゆえの,V / N（の） + ゆえに,Because of; due to (literary),"貧しさ[まずしさ]ゆえに、十分[じゅうぶん]な教育[きょういく]が受け[うけ]られなかった。 / Due to poverty, I couldn't receive a sufficient education."
〜をおいて,N + をおいて（他にない）,There is no one/nothing else besides,"この仕事[しごと]を任せ[まかせ]られるのは、彼[かれ]をおいて他[ほか]にいない。 / There is no one else besides him who can be entrusted with this work."
〜を限りに,N + を限り[かぎり]に,As the last time; starting from (the end of something),"今日[きょう]を限りにタバコをやめる。 / With today as the last time, I will quit smoking."
〜を皮切りに,N + を皮切り[かわきり]に,Starting with,"東京[とうきょう]での公演[こうえん]を皮切りに、全国[ぜんこく]ツアーが始まる[はじまる]。 / Starting with the performance in Tokyo, the nationwide tour will begin."
〜を禁じ得ない,N + を禁じ得ない[きんじえない],Cannot help but feel,"その悲惨[ひさん]なニュースを聞い[きい]て、涙[なみだ]を禁じ得なかった。 / Hearing that tragic news, I couldn't help but shed tears (couldn't hold back tears)."
〜をもって,N + をもって,With; by means of; as of (time),"本日[ほんじつ]をもって、閉店[へいてん]させていただきます。 / We will be closing down as of today. / 誠意[せいい]をもって対応[たいおう]いたします。 / We will respond with sincerity."
〜をものともせずに,N + をものともせずに,In defiance of; ignoring the difficulty of,"周囲[しゅうい]の反対[はんたい]をものともせずに、彼女[かのじょ]は自分[じぶん]の夢[ゆめ]を追いかけ[おいかけ]た。 / Ignoring the difficulty of the surrounding opposition, she chased her own dream."
〜を余儀なくされる,N + を余儀[よぎ]なくされる,To be forced to do,"台風[たいふう]のため、飛行機[ひこうき]は出発[しゅっぱつ]の延期[えんき]を余儀なくされた。 / Due to the typhoon, the airplane was forced to postpone its departure."
〜んがため(に),V-nai (drop ない) + んがため（に）,In order to (する -> せんがため),"自分[じぶん]の夢[ゆめ]を実現[じつげん]せんがため、彼[かれ]は海外[かいがい]へ渡っ[わたっ]た。 / In order to realize his own dream, he crossed overseas."
〜んばかりに,V-nai (drop ない) + んばかりに,As if to (する -> せんばかりに),"彼女[かのじょ]は泣き出さ[なきださ]んばかりの顔[かお]で訴え[うったえ]た。 / She appealed with a face that looked as if she was about to start crying."
