grammar,usage,meaning,examples
じゃない / じゃありません,N / na-adj + じゃない / じゃありません,Is not; am not; are not (polite negative),"彼[かれ]は先生[せんせい]じゃありません。 / He is not a teacher. / この町[まち]は静か[しずか]じゃないです。 / This town is not quiet."
ました,V-ます stem + ました,Did (polite past tense),"昨日[きのう]、映画[えいが]を見[み]ました。 / I watched a movie yesterday. / 勉強[べんきょう]しました。 / I studied."
ませんでした,V-ます stem + ませんでした,Did not (polite past negative),"朝ご飯[あさごはん]を食べ[たべ]ませんでした。 / I did not eat breakfast. / わかりませんでした。 / I didn't understand."
〜てください,V-て + ください,Please do 〜,"ちょっと待っ[まっ]てください。 / Please wait a moment. / ここに名前[なまえ]を書い[かい]てください。 / Please write your name here."
〜ている,V-て + います,Is doing 〜 (continuous action or state),"今[いま]、本[ほん]を読ん[よん]でいます。 / I am reading a book right now. / 東京[とうきょう]に住ん[すん]でいます。 / I live in Tokyo."
〜てもいいです,V-て + もいいです,May I 〜; it is okay to 〜,"ここでお弁当[べんとう]を食べ[たべ]てもいいですか。 / May I eat my lunch box here? / 写真[しゃしん]を撮っ[とっ]てもいいですよ。 / It is okay to take pictures."
〜てはいけません,V-て + はいけません,Must not 〜; may not 〜,"ここでタバコを吸っ[すっ]てはいけません。 / You must not smoke here. / 病院[びょういん]で走っ[はしっ]てはいけません。 / You must not run in the hospital."
〜から (Reason),Sentence + から,Because; since,"忙しい[いそがしい]から、行き[いき]ません。 / I will not go because I am busy. / 美味しい[おいしい]ですから、たくさん食べ[たべ]ました。 / Because it was delicious, I ate a lot."
〜ましょう,V-ます stem + ましょう,Let's do 〜,"一緒[いっしょ]に帰り[かえり]ましょう。 / Let's go home together. / 昼ご飯[ひるごはん]を食べ[たべ]ましょう。 / Let's eat lunch."
〜ませんか,V-ます stem + ませんか,Won't you do 〜?; Would you like to do 〜?,"一緒[いっしょ]に映画[えいが]を見[み]ませんか。 / Won't you watch a movie with me? / コーヒーを飲み[のみ]ませんか。 / Would you like to drink some coffee?"
〜たい,V-ます stem + たいです,Want to do 〜,"日本[にほん]に行き[いき]たいです。 / I want to go to Japan. / 寿司[すし]を食べ[たべ]たいです。 / I want to eat sushi."
〜たくない,V-ます stem + たくないです,Do not want to do 〜,"今日[きょう]は働き[はたらき]たくないです。 / I don't want to work today. / 何[なに]も食べ[たべ]たくありません。 / I don't want to eat anything."
〜に行く / 〜に来る,V-ます stem / N + に行く / に来る,Go to do 〜 / Come to do 〜,"デパートへ靴[くつ]を買い[かい]に行き[いき]ます。 / I am going to the department store to buy shoes. / 友達[ともだち]が遊び[あそび]に来ま[きま]した。 / A friend came to play/visit."
〜ないでください,V-ない + でください,Please do not do 〜,"写真[しゃしん]を撮ら[とら]ないでください。 / Please do not take pictures. / 心配[しんぱい]しないでください。 / Please do not worry."
〜のが好きだ,V-る + のが好き[すき]です,Like doing 〜,"音楽[おんがく]を聞く[きく]のが好き[すき]です。 / I like listening to music. / 料理[りょうり]を作る[つくる]のが好き[すき]ですか。 / Do you like cooking?"
〜のが上手だ / 〜のが下手だ,V-る + のが上手[じょうず]です / 下手[へた]です,To be good at doing 〜 / To be bad at doing 〜,"彼女[かのじょ]は歌を歌う[うたをうたう]のが上手[じょうず]です。 / She is good at singing. / 私[わたし]は英語[えいご]を話す[はなす]のが下手[へた]です。 / I am bad at speaking English."
〜つもりだ,V-る / V-ない + つもりです,Plan to do 〜; intend to do 〜,"来年[らいねん]、日本[にほん]に留学[りゅうがく]するつもりです。 / I plan to study abroad in Japan next year. / 今日[きょう]は出かけ[でかけ]ないつもりです。 / I intend not to go out today."
〜たことがある,V-た + ことがあります,Have done 〜 before (experience),"日本[にほん]に行っ[いっ]たことがあります。 / I have been to Japan. / 納豆[なっとう]を食べ[たべ]たことがありません。 / I have never eaten natto."
〜たり〜たりする,V-た + り、V-た + りします,Do things like A and B,"週末[しゅうまつ]は買い物[かいもの]したり、映画[えいが]を見[み]たりします。 / On weekends, I do things like shopping and watching movies. / 本[ほん]を読ん[よん]だり、音楽[おんがく]を聞い[きい]たりしました。 / I did things like read books and listen to music."
けれども / が,Sentence + けれども / が,But; however,"この車[くるま]は高い[たかい]ですが、とてもいいです。 / This car is expensive, but it is very good. / 勉強[べんきょう]しましたけれども、テストは難しかっ[むずかしかっ]たです。 / I studied, but the test was difficult."
まだ〜ていません,まだ + V-ていません,Have not done 〜 yet,"まだ昼ご飯[ひるごはん]を食べ[たべ]ていません。 / I haven't eaten lunch yet. / 宿題[しゅくだい]はまだ終わっ[おわっ]ていません。 / I haven't finished my homework yet."
もう〜ました,もう + V-ました,Already did 〜,"もう宿題[しゅくだい]をしま[しま]した。 / I already did my homework. / 電車[でんしゃ]はもう出ま[でま]した。 / The train has already left."
〜なる,i-adj: 〜く + なる / na-adj: 〜に + なる / N + に + なる,To become,"天気[てんき]が寒く[さむく]なりま[なりま]した。 / The weather became cold. / 彼[かれ]は医者[いしゃ]になりま[なりま]した。 / He became a doctor."
どんな,どんな + N,What kind of 〜,"どんなスポーツが好き[すき]ですか。 / What kind of sports do you like? / どんな映画[えいが]を見[み]ましたか。 / What kind of movie did you watch?"
どうして,どうして + Sentence,Why,"どうして昨日[きのう]学校[がっこう]を休み[やすみ]ましたか。 / Why did you take the day off from school yesterday? / どうして日本語[にほんご]を勉強[べんきょう]していますか。 / Why are you studying Japanese?"
〜てから,V-て + から,After doing 〜,"手[て]を洗っ[あらっ]てから、ご飯[はん]を食べ[たべ]ます。 / After washing my hands, I will eat. / 仕事[しごと]が終わっ[おわっ]てから、飲み[のみ]に行き[いき]ましょう。 / After work finishes, let's go drinking."
どのくらい / どのぐらい,どのくらい + V,How long; how much,"日本[にほん]にどのくらい住ん[すん]でいますか。 / How long have you lived in Japan? / 家[いえ]から駅[えき]までどのくらいかかりますか。 / How long does it take from your house to the station?"
〜く・〜に (Adverb),i-adj: 〜く + V / na-adj: 〜に + V,Do something 〜ly (turns adjectives into adverbs),"早く[はやく]起き[おき]ました。 / I woke up early. / きれいに掃除[そうじ]してください。 / Please clean it beautifully/thoroughly."
〜でしょう / 〜だろう,N / Adj / V-plain + でしょう,Probably; right? (seeking agreement or making a guess),"明日[あした]は雨[あめ]でしょう。 / It will probably rain tomorrow. / このケーキ、美味しい[おいしい]でしょう？ / This cake is delicious, right?"
〜ない (Short form negative),V-ない,Do not 〜 (casual negative),"今日[きょう]は学校[がっこう]に行か[いか]ない。 / I won't go to school today. / お酒[さけ]を飲ま[のま]ない。 / I don't drink alcohol."
〜た (Short form past),V-た,Did 〜 (casual past),"昨日[きのう]、友達[ともだち]に会っ[あっ]た。 / I met a friend yesterday. / もうご飯[はん]を食べ[たべ]た。 / I already ate."
〜なかった (Short past negative),V-なかった,Did not 〜 (casual past negative),"昨日[きのう]は忙しく[いそがしく]なかった。 / I wasn't busy yesterday. / テレビを見な[みな]かった。 / I didn't watch TV."
〜より,AはBより〜,A is more 〜 than B,"車[くるま]は自転車[じてんしゃ]より速い[はやい]です。 / A car is faster than a bicycle. / 肉[にく]より魚[さかな]が好き[すき]です。 / I like fish more than meat."
〜のほうが〜,AよりBのほうが〜,B is more 〜 than A,"コーヒーより紅茶[こうちゃ]のほうが好き[すき]です。 / I prefer black tea over coffee. / バスより電車[でんしゃ]のほうが便利[べんり]です。 / The train is more convenient than the bus."
〜で一番[いちばん],CategoryでAが一番[いちばん]〜,A is the most 〜 in/among [Category],"果物[くだもの]の中で[なかで]りんごが一番[いちばん]好き[すき]です。 / Among fruits, I like apples the best. / クラスで彼[かれ]が一番[いちばん]背[せ]が高い[たかい]です。 / He is the tallest in the class."
だけ,N / V / Adj + だけ,Only; just,"水[みず]だけ飲み[のみ]ました。 / I drank only water. / ５分[ごふん]だけ待っ[まっ]てください。 / Please wait just 5 minutes."
しか〜ない,N + しか + V-ない,Only (implies not enough or exclusivity),"お金[かね]が千円[せんえん]しかありません。 / I only have 1,000 yen. / ひらがなしか書け[かけ]ません。 / I can only write hiragana."
あげる,NにNをあげる / V-てあげる,To give; to do something for someone,"友達[ともだち]にプレゼントをあげました。 / I gave a present to my friend. / 妹[いもうと]に本[ほん]を読ん[よん]であげました。 / I read a book for my younger sister."
もらう,Nに/からNをもらう / V-てもらう,To receive; to have someone do something for you,"先生[せんせい]から本[ほん]をもらいました。 / I received a book from the teacher. / 友達[ともだち]に手伝っ[てつだっ]てもらいました。 / I had my friend help me."
くれる,(私に)Nをくれる / V-てくれる,To give (to me); to do something for me,"父[ちち]が時計[とけい]をくれました。 / My father gave me a watch. / 彼[かれ]が荷物[にもつ]を持っ[もっ]てくれました。 / He carried my luggage for me."
〜すぎ / 〜すぎる,V-ます stem / Adj stem + すぎる,Too much,"このカレーは辛[から]すぎます。 / This curry is too spicy. / 昨日[きのう]はお酒[さけ]を飲み[のみ]すぎました。 / I drank too much alcohol yesterday."
〜やすい,V-ます stem + やすい,Easy to do,"このペンは書き[かき]やすいです。 / This pen is easy to write with. / この本[ほん]は読み[よみ]やすい。 / This book is easy to read."
〜にくい,V-ます stem + にくい,Difficult to do,"この肉[にく]は硬く[かたく]て食べ[たべ]にくいです。 / This meat is hard and difficult to eat. / 漢字[かんじ]は覚え[おぼえ]にくいです。 / Kanji is hard to remember."
〜ても,V-て + も / i-adj-くて + も,Even if; even though,"雨[あめ]が降っ[ふっ]ても、試合[しあい]をします。 / Even if it rains, we will play the game. / 難しく[むずかしく]ても、頑張り[がんばり]ます。 / Even if it is difficult, I will do my best."
〜ながら,V-ます stem + ながら,While doing 〜,"音楽[おんがく]を聞き[きき]ながら勉強[べんきょう]します。 / I study while listening to music. / テレビを見[み]ながらご飯[はん]を食べ[たべ]ないでください。 / Please do not eat while watching TV."
だから,Sentence + だから + Sentence,So; therefore,"雨[あめ]が降っ[ふっ]ています。だから、行き[いき]ません。 / It is raining. Therefore, I won't go."
どうやって,どうやって + V,How; in what way,"どうやって会社[かいしゃ]に行き[いき]ますか。 / How do you get to work?"
いつも,いつも + V,Always,"私[わたし]はいつも朝ご飯[あさごはん]を食べ[たべ]ます。 / I always eat breakfast."
よく,よく + V,Often; well,"よく映画[えいが]を見[み]ます。 / I often watch movies. / よくできました。 / You did well."
たぶん,たぶん + Sentence,Probably; perhaps,"明日[あした]はたぶん雨[あめ]です。 / It will probably rain tomorrow."
たくさん,たくさん + V / N,A lot; many,"たくさん食べ[たべ]ました。 / I ate a lot."
すこし / ちょっと,すこし / ちょっと + V / Adj,A little; a few,"すこし疲れ[つかれ]ました。 / I am a little tired. / ちょっと待っ[まっ]てください。 / Please wait a little."
もうすぐ,もうすぐ + V,Soon; shortly,"もうすぐ春[はる]が来[き]ます。 / Spring will come soon."
ゆっくり,ゆっくり + V,Slowly,"ゆっくり話して[はなして]ください。 / Please speak slowly."
ぜんぜん,ぜんぜん + Negative,Not at all,"日本語[にほんご]がぜんぜんわかりません。 / I don't understand Japanese at all."
あまり,あまり + Negative,Not very; not much,"お酒[さけ]をあまり飲み[のみ]ません。 / I don't drink much alcohol."
すぐに,すぐに + V,Immediately; right away,"すぐに来[き]てください。 / Please come right away."
また,また + V,Again,"また明日[あした]ね。 / See you again tomorrow. / また来[き]ます。 / I will come again."
あとで,Nの / V-た + あとで,Later; after,"あとで電話[でんわ]します。 / I will call you later."
いっしょに,いっしょに + V,Together,"いっしょに帰り[かえり]ましょう。 / Let's go home together."
ほんとうに,ほんとうに + Adj / V,Really; truly,"このケーキはほんとうに美味しい[おいしい]です。 / This cake is really delicious."
まっすぐ,まっすぐ + V,Straight,"この道[みち]をまっすぐ行っ[いっ]てください。 / Please go straight down this road."
どこか,どこか + (Particle) + V,Somewhere,"週末[しゅうまつ]、どこかへ行き[いき]ましたか。 / Did you go somewhere over the weekend?"
なにか,なにか + (Particle) + V,Something,"なにか食べ[たべ]ましょう。 / Let's eat something."
だれか,だれか + (Particle) + V,Someone,"だれか来ま[きま]したよ。 / Someone came."
