grammar,usage,meaning,examples
〜かけ / 〜かける,V-ます stem + かけ / かける,Half-done; in the middle of,"テーブルの上[うえ]に飲み[のみ]かけのコーヒーがある。 / There is a half-drunk coffee on the table. / 彼女[かのじょ]は何か言い[いい]かけて、やめた。 / She started to say something and then stopped."
〜がたい,V-ます stem + がたい,Hard to; difficult to (psychologically/emotionally),"彼[かれ]がそんな犯罪[はんざい]をしたとは信じ[しんじ]がたい。 / It is hard to believe he committed such a crime. / 許し[ゆるし]がたい行為[こうい]だ。 / It is an unforgivable act."
〜がち,V-ます stem / N + がち,Tend to; prone to (negative tendency),"彼[かれ]は最近[さいきん]、学校[がっこう]を休み[やすみ]がちだ。 / He tends to be absent from school lately. / 雪[ゆき]の日[ひ]は電車[でんしゃ]が遅れ[おくれ]がちです。 / Trains are prone to being late on snowy days."
〜かと思うと / 〜かと思ったら,V-た + かと思う[おもう]と,Just as soon as; no sooner than,"赤ちゃん[あかちゃん]は泣い[ない]たかと思うと、もう笑っ[わらっ]ている。 / No sooner had the baby cried than they were already laughing. / 雨[あめ]が降っ[ふっ]てきたかと思ったら、すぐ止ん[やん]だ。 / Just as I thought it started raining, it stopped immediately."
〜かねない,V-ます stem + かねない,Might happen; there is a risk of (negative outcome),"スピードを出し[だし]すぎると、事故[じこ]を起こし[おこし]かねない。 / If you speed too much, you might cause an accident. / 睡眠[すいみん]不足[ぶそく]は病気[びょうき]になりかねない。 / Lack of sleep risks leading to illness."
〜かねる,V-ます stem + かねる,Cannot; reluctant to do (polite refusal),"ご要望[ようぼう]にはお応え[こたえ]しかねます。 / We cannot meet your request. / 私[わたし]には分かり[わかり]かねます。 / I am unable to understand/answer that."
〜からいうと / 〜からいえば,N + からいうと,From the perspective of; in terms of,"能力[のうりょく]からいうと、彼[かれ]がリーダーにふさわしい。 / In terms of ability, he is suited to be the leader. / 現状[げんじょう]からいえば、成功[せいこう]は難しい[むずかしい]。 / From the perspective of the current situation, success is difficult."
〜からして,N + からして,Judging from (even just this one thing); starting with,"タイトルからして面白[おもしろ]そうだ。 / Judging even just from the title, it looks interesting. / 彼[かれ]は態度[たいど]からして失礼[しつれい]だ。 / Starting right from his attitude, he is rude."
〜からすると / 〜からすれば,N + からすると,Judging from,"彼[かれ]の話し方[はなしかた]からすると、東京[とうきょう]の出身[しゅっしん]だろう。 / Judging from his way of speaking, he is probably from Tokyo. / 親[おや]からすれば、子供[こども]はいつまでも子供[こども]だ。 / From a parent's perspective, a child is always a child."
〜からには,V (plain) + からには,Now that; since (strong resolve),"試合[しあい]に出る[でる]からには、勝ち[かち]たい。 / Now that I am entering the match, I want to win. / 約束[やくそく]したからには、守る[まもる]べきだ。 / Since you promised, you should keep it."
〜代わりに,V (plain) / Nの + 代わり[かわり]に,Instead of; in exchange for,"私[わたし]の代わりに会議[かいぎ]に出[で]てください。 / Please attend the meeting instead of me. / 日曜日[にちようび]に働く[はたらく]代わりに、月曜日[げつようび]は休み[やすみ]ます。 / In exchange for working on Sunday, I will take Monday off."
〜気味,V-ます stem / N + 気味[ぎみ],Looking a little; feeling a little (slight negative state),"今日[きょう]は少し[すこし]風邪[かぜ]気味[ぎみ]です。 / I am feeling a slight cold today. / 最近[さいきん]、太り[ふとり]気味[ぎみ]だ。 / Lately, I am looking a little overweight."
〜きり / 〜っきり,V-た + きり,Since; after (an action is completed and no change happens),"彼[かれ]に会っ[あっ]たのは去年[きょねん]の夏[なつ]に会っ[あっ]たきりだ。 / The last time I saw him was since we met last summer. / 彼女[かのじょ]は部屋[へや]に入っ[はいっ]たきり、出[で]てこない。 / Since she entered the room, she hasn't come out."
〜きる / 〜きれない,V-ます stem + きる / きれない,To do completely / unable to do completely,"長距離[ちょうきょり]を走り[はしり]きった。 / I ran the long distance completely to the end. / 料理[りょうり]が多[おお]すぎて、食べ[たべ]きれない。 / There is too much food, I am unable to eat it all."
〜くせに,V / Adj / Nの + くせに,Even though; and yet (contains blame/contempt),"彼[かれ]は知っ[しっ]ているくせに、教え[おしえ]てくれない。 / Even though he knows, he won't tell me. / 男[おとこ]のくせに泣く[なく]な。 / Don't cry even though you are a man."
〜げ,Adj-stem + げ,Looks; seems like (expresses appearance of an emotion),"彼女[かのじょ]は悲し[かなし]げな顔[かお]をしていた。 / She had a sad-looking face. / 老人[ろうじん]は寂し[さびし]げに歩い[あるい]ていた。 / The old man was walking looking lonely."
〜こそ,N + こそ,For sure; emphasis,"今年[ことし]こそ、N2に合格[ごうかく]したい。 / This year for sure, I want to pass N2. / こちらこそ、よろしくお願いします。 / I should be the one saying that (pleased to meet you)."
〜ことか,V-た / Adj + ことか,How much... ! (exclamation),"合格[ごうかく]の知らせ[しらせ]を聞い[きい]て、どんなに喜ん[よろこん]だことか。 / Hearing the news of passing, how much I rejoiced! / 毎日[まいにち]のお弁当[べんとう]作り[づくり]は、どんなに大変[たいへん]なことか。 / How difficult making a bento every day is!"
〜ことから,V (plain) / Nである + ことから,From the fact that; because,"声[こえ]が震え[ふるえ]ていることから、彼[かれ]が緊張[きんちょう]していると分かっ[わかっ]た。 / From the fact that his voice was trembling, I knew he was nervous. / 富士山[ふじさん]が見える[みえる]ことから、この町[まち]は「富士見[ふじみ]」と呼ば[よば]れている。 / Because Mt. Fuji can be seen, this town is called 'Fujimi'."
〜ことだ,V-る / V-ない + ことだ,Should / should not (giving advice/commands),"日本語[にほんご]が上手[じょうず]になりたければ、毎日[まいにち]話す[はなす]ことだ。 / If you want to become good at Japanese, you should speak it every day. / 無理[むり]をしないことだ。 / You should not push yourself too hard."
〜ことになっている,V-る / V-ない + ことになっている,It is decided that; it is a rule that,"この寮[りょう]では、門限[もんげん]は夜[よる]10時[じ]ということになっている。 / In this dorm, it is a rule that curfew is 10 PM. / 明日[あした]、社長[しゃちょう]に会う[あう]ことになっている。 / It has been decided that I will meet the president tomorrow."
〜ことはない,V-る + ことはない,There is no need to,"心配[しんぱい]することはないよ。 / There is no need to worry. / わざわざ行く[いく]ことはありません。 / There is no need to go out of your way."
〜際 / 〜際に,V-る / V-た / Nの + 際[さい]（に）,At the time of; when (formal),"日本[にほん]へ行く[いく]際は、パスポートが必要[ひつよう]です。 / At the time of going to Japan, a passport is necessary. / お降り[おり]の際は、お忘れ物[わすれもの]にご注意[ちゅうい]ください。 / When getting off, please be careful of forgotten items."
〜最中に,V-ている / Nの + 最中[さいちゅう]に,Right in the middle of,"会議[かいぎ]の最中[さいちゅう]に携帯[けいたい]が鳴っ[なっ]た。 / My cell phone rang right in the middle of the meeting. / シャワーを浴び[あび]ている最中[さいちゅう]に、お湯[ゆ]が出[で]なくなった。 / Right in the middle of taking a shower, the hot water stopped coming out."
〜ざるを得ない,V-ない (drop ない) + ざるを得ない[えない],Have no choice but to (する becomes せざるを得ない),"熱[ねつ]が39度[ど]もあるので、学校[がっこう]を休ま[やすま]ざるを得ない。 / Because I have a fever of 39 degrees, I have no choice but to be absent from school. / 計画[けいかく]は中止[ちゅうし]せざるを得ない。 / We have no choice but to cancel the plan."
〜しかない,V-る / N + しかない,Have no choice but to; only,"電車[でんしゃ]がないから、歩く[あるく]しかない。 / Because there are no trains, we have no choice but to walk. / お金[かね]がこれしかない。 / I only have this much money."
〜次第だ / 〜次第で,N + 次第[しだい]だ / 次第[しだい]で,Depending on,"結果[けっか]はあなたたちの努力[どりょく]次第[しだい]です。 / The result depends on your effort. / 天気[てんき]次第[しだい]で、行く[いく]かどうか決め[きめ]ます。 / Depending on the weather, I will decide whether to go or not."
〜上,N + 上[じょう],From the standpoint of; logically,"計算[けいさん]上[じょう]は合う[あう]はずだ。 / Logically (based on calculations) it should match up. / 健康[けんこう]上[じょう]の理由[りゆう]で退職[たいしょく]した。 / I resigned for health reasons (from the standpoint of health)."
〜ずにはいられない,V-ない (drop ない) + ずにはいられない,Cannot help but (する becomes せずにはいられない),"その映画[えいが]を見て[みて]、泣か[なか]ずにはいられなかった。 / Watching that movie, I couldn't help but cry. / 美味し[おいし]そうなケーキを見て[みて]、食べ[たべ]ずにはいられなかった。 / Looking at the delicious cake, I couldn't help but eat it."
〜せいか / 〜せいで,V / Adj / Nの + せいか / せいで,Because of; perhaps because of (negative result),"暑さ[あつさ]のせいで、食欲[しょくよく]がない。 / Because of the heat, I have no appetite. / 寝不足[ねぶそく]のせいか、頭[あたま]が痛い[いたい]。 / Perhaps because of a lack of sleep, my head hurts."
〜だけあって,V / Adj / N + だけあって,As expected of; precisely because,"彼[かれ]はアメリカに住ん[すん]でいただけあって、英語[えいご]が上手[じょうず]だ。 / As expected of someone who lived in America, his English is good. / このホテルは高い[たかい]だけあって、サービスが素晴らしい[すばらしい]。 / Precisely because this hotel is expensive, the service is wonderful."
〜だけに,V / Adj / N + だけに,Being the case; precisely because (emphasizes the natural result),"期待[きたい]が大きかっ[おおきかっ]ただけに、失敗[しっぱい]した時のショックも大きい[おおきい]。 / Precisely because the expectations were high, the shock when it failed was also big. / 彼女[かのじょ]は動物[どうぶつ]が好き[すき]なだけに、ペットの死[し]を深く[ふかく]悲しん[かなしん]だ。 / Because she loves animals, she mourned the pet's death deeply."
〜たところ,V-た + ところ,When I did... (found out that...),"病院[びょういん]に行っ[いっ]たところ、ただの風邪[かぜ]だと言わ[いわ]れた。 / When I went to the hospital, I was told it was just a cold. / 彼[かれ]に電話[でんわ]したところ、留守[るす]だった。 / When I called him, he was not home."
〜たび / 〜たびに,V-る / Nの + たび（に）,Every time; whenever,"この曲[きょく]を聞く[きく]たびに、昔[むかし]を思い出す[おもいだす]。 / Every time I hear this song, I remember the past. / 出張[しゅっちょう]のたびに、お土産[みやげ]を買っ[かっ]てきてくれる。 / Every time he goes on a business trip, he buys me a souvenir."
〜だらけ,N + だらけ,Covered in; full of (negative meaning),"彼[かれ]の部屋[へや]はゴミだらけだ。 / His room is full of trash. / このテストは間違い[まちがい]だらけだ。 / This test is full of mistakes."
〜ついでに,V-る / V-た / Nの + ついでに,While doing; taking the opportunity,"散歩[さんぽ]のついでに、手紙[てがみ]を出して[だして]きてくれませんか。 / While you are out for a walk, could you mail this letter? / 買い物[かいもの]に出[で]た手前[てまえ]、ついでに銀行[ぎんこう]にも寄っ[よっ]た。 / Since I went out shopping, I stopped by the bank taking the opportunity."
〜っこない,V-ます stem + っこない,Absolutely cannot; no way,"こんなにたくさん、一人[ひとり]で食べ[たべ]られっこない。 / There is no way I can eat this much by myself. / 彼[かれ]に教え[おしえ]ても、分かり[わかり]っこないよ。 / Even if you teach him, there's absolutely no way he'll understand."
〜つつ,V-ます stem + つつ,While (formal, same as ながら); although,"悪い[わるい]と知り[しり]つつ、嘘[うそ]をついてしまった。 / Although I knew it was bad, I told a lie. / コーヒーを飲み[のみ]つつ、新聞[しんぶん]を読む[よむ]。 / While drinking coffee, I read the newspaper."
〜つつある,V-ます stem + つつある,Is currently doing; is in the process of,"日本[にほん]の人口[じんこう]は減り[へり]つつある。 / Japan's population is in the process of decreasing. / 問題[もんだい]は解決[かいけつ]しつつあります。 / The problem is in the process of being solved."
〜っぽい,V-ます stem / N / Adj-stem + っぽい,-ish; tends to; looks like,"彼[かれ]はすぐ怒る[おこる]、怒り[おこり]っぽい性格[せいかく]だ。 / He has a quick-tempered personality, tending to get angry quickly. / この牛乳[ぎゅうにゅう]は水[みず]っぽくて美味しく[おいしく]ない。 / This milk is watery (-ish) and not delicious."
〜て以来,V-て + 以来[いらい],Since; ever since,"卒業[そつぎょう]して以来、彼[かれ]とは会っ[あっ]ていない。 / Ever since I graduated, I haven't met with him. / 日本[にほん]に来て[きて]以来、ずっとこの町[まち]に住ん[すん]でいる。 / Since coming to Japan, I have always lived in this town."
〜てからでないと,V-て + からでないと,Unless; until (cannot do B until A is done),"手[て]を洗っ[あらっ]てからでないと、ご飯[はん]を食べ[たべ]てはいけません。 / Until you wash your hands, you must not eat. / 上司[じょうし]に相談[そうだん]してからでないと、決め[きめ]られません。 / I cannot decide unless I consult with my boss first."
〜てしょうがない,V-て / Adj-くて / na-Adj-で + しょうがない,Can't help but; extremely,"今日[きょう]は寒く[さむく]てしょうがない。 / Today is extremely cold. / 喉[のど]が渇い[かわい]てしょうがない。 / I am extremely thirsty (can't help but be thirsty)."
〜たまらない,V-て / Adj-くて / na-Adj-で + たまらない,Unbearably; extremely,"心配[しんぱい]でたまらない。 / I am unbearably worried. / 彼女[かのじょ]に会い[あい]たくてたまらない。 / I want to meet her so much it's unbearable."
〜ということだ,Phrase + ということだ,I heard that; it means that,"ニュースによると、明日[あした]は雪[ゆき]だということだ。 / According to the news, I heard it will snow tomorrow. / つまり、彼[かれ]は来ない[こない]ということですね。 / In other words, it means he isn't coming, right?"
〜というと / 〜といえば,N + というと / といえば,Speaking of; when it comes to,"日本[にほん]の夏[なつ]といえば、花火[はなび]ですね。 / Speaking of summer in Japan, it's fireworks, isn't it? / 東京[とうきょう]というと、人[ひと]が多い[おおい]イメージがある。 / When you say Tokyo, there is an image of many people."
〜といっても,V / Adj / N + といっても,Even though I say; although,"家[いえ]を建てた[たてた]といっても、とても小さい[ちいさい]家[いえ]です。 / Even though I say I built a house, it is a very small house. / 泳げる[およげる]といっても、25メートルだけです。 / Although I can swim, it's only 25 meters."
〜としたら / 〜とすれば,V / Adj / N + としたら / とすれば,If it were the case that; assuming,"もし宝くじ[たからくじ]が当たっ[あたっ]たとしたら、何[なに]を買い[かい]ますか。 / If it were the case that you won the lottery, what would you buy? / 彼[かれ]の言っ[いっ]ていることが本当[ほんとう]だとすれば、大変[たいへん]なことだ。 / Assuming what he is saying is true, it is a serious matter."
〜とともに,V-る / N + とともに,Together with; at the same time as,"家族[かぞく]とともに、ハワイへ旅行[りょこう]した。 / I traveled to Hawaii together with my family. / 年[とし]を取る[とる]とともに、体力[たいりょく]が落ち[おち]てきた。 / At the same time as getting older, my physical strength has declined."
〜ないことには,V-ない / Adj-くない / Nでない + ことには,Unless; without doing,"実際[じっさい]に見て[みて]みないことには、決め[きめ]られません。 / Unless I actually see it, I cannot decide. / 彼[かれ]が来ない[こない]ことには、会議[かいぎ]が始め[はじめ]られない。 / Unless he comes, we cannot start the meeting."
〜ないことはない,V-ない / Adj-くない / Nでない + ことはない,It's not that... won't; can (with effort),"納豆[なっとう]は、食べ[たべ]られないことはないが、好き[すき]ではない。 / It's not that I can't eat natto, but I don't like it. / 頑張れ[がんばれ]ば、できなくはない。 / If you do your best, it's not impossible."
〜ながら（も）,V-ます stem / N / Adj + ながら（も）,Even though; despite,"狭い[せまい]ながらも、楽しい[たのしい]我[わ]が家[や]です。 / Even though it is cramped, it is our happy home. / 残念[ざんねん]ながら、パーティーには参加[さんか]できません。 / Despite it being regrettable, I cannot attend the party."
〜にあたって,V-る / N + にあたって,At the time of; on the occasion of (formal planning),"新生活[しんせいかつ]を始める[はじめる]にあたって、目標[もくひょう]を立てた[たてた]。 / On the occasion of starting a new life, I set a goal. / 大会[たいかい]を開く[ひらく]にあたって、挨拶[あいさつ]をします。 / At the time of opening the tournament, I will give a greeting."
〜において / 〜における,N + において / における + N,In; at; regarding (formal version of で/に),"卒業式[そつぎょうしき]は体育館[たいいくかん]において行わ[おこなわ]れます。 / The graduation ceremony will be held in the gymnasium. / 現代[げんだい]社会[しゃかい]におけるインターネットの役割[やくわり]は大きい[おおきい]。 / The role of the internet in modern society is large."
〜に応じて,N + に応じて[おうじて],Depending on; in accordance with,"収入[しゅうにゅう]に応じて、税金[ぜいきん]が変わる[かわる]。 / Depending on your income, your taxes change. / お客様[きゃくさま]の要望[ようぼう]に応じて、メニューを変更[へんこう]した。 / We changed the menu in accordance with the customers' requests."
〜にかかわらず,V-るV-ない / Adj-いAdj-くない / N + にかかわらず,Regardless of,"天気[てんき]にかかわらず、明日[あした]は出発[しゅっぱつ]します。 / Regardless of the weather, we will depart tomorrow. / 経験[けいけん]の有無[うむ]にかかわらず、誰[だれ]でも応募[おうぼ]できます。 / Regardless of whether you have experience or not, anyone can apply."
〜に代わって,N + に代わって[かわって],On behalf of; instead of,"社長[しゃちょう]に代わって、ご挨拶[あいさつ]申し上げ[もうしあげ]ます。 / On behalf of the company president, I offer my greetings. / ロボットが人[ひと]に代わって働く[はたらく]ようになるだろう。 / Robots will likely come to work instead of humans."
〜に関して,N + に関して[かんして],Regarding; concerning,"この件[けん]に関して、質問[しつもん]はありますか。 / Regarding this matter, do you have any questions? / 日本[にほん]の経済[けいざい]に関する[かんする]本[ほん]を読ん[よん]だ。 / I read a book concerning the Japanese economy."
〜に決まっている,V / Adj / N + に決まって[きまって]いる,Bound to; must be; certainly,"そんなに食べ[たべ]たら、太る[ふとる]に決まって[きまって]いる。 / If you eat that much, you are bound to get fat. / 彼[かれ]が犯人[はんにん]に決まって[きまって]いる。 / He must certainly be the culprit."
〜に比べて,N + に比べて[くらべて],Compared to,"去年[きょねん]に比べて、今年[ことし]は雪[ゆき]が多い[おおい]。 / Compared to last year, there is a lot of snow this year. / 田舎[いなか]は都会[とかい]に比べて物価[ぶっか]が安い[やすい]。 / The countryside has cheaper prices compared to the city."
〜に加えて,N + に加えて[くわえて],In addition to,"風[かぜ]が強い[つよい]のに加えて、雨[あめ]も降っ[ふっ]てきた。 / In addition to the strong wind, it also started raining. / 英語[えいご]に加えて、フランス語[ご]も話せ[はなせ]ます。 / In addition to English, I can also speak French."
〜にこたえて,N + にこたえて,In response to,"アンコールの声[こえ]にこたえて、もう一曲[いっきょく]歌い[うたい]ました。 / In response to the calls for an encore, I sang one more song. / 皆様[みなさま]のご期待[きたい]にこたえられるよう頑張り[がんばり]ます。 / I will do my best to respond to everyone's expectations."
〜に際して,V-る / N + に際して[さいして],On the occasion of; when (formal),"留学[りゅうがく]に際して、先生[せんせい]からアドバイスをもらった。 / On the occasion of studying abroad, I received advice from my teacher. / ご契約[けいやく]に際して、注意[ちゅうい]事項[じこう]をご説明[せつめい]します。 / When making the contract, I will explain the points of caution."
〜に先立って,N + に先立って[さきだって],Prior to; before,"会議[かいぎ]に先立って、資料[しりょう]が配ら[くばら]れた。 / Prior to the meeting, the materials were distributed. / 開店[かいてん]に先立って、パーティーが開か[ひらか]れた。 / Before the store opening, a party was held."
〜にしたがって,V-る / N + にしたがって,As; in accordance with,"上司[じょうし]の指示[しじ]にしたがって、仕事[しごと]を進める[すすめる]。 / I will proceed with the work in accordance with the boss's instructions. / 年[とし]を取る[とる]にしたがって、忘れ物[わすれもの]が多く[おおく]なった。 / As I get older, my forgotten items have increased."
〜にしても,V / Adj / N + にしても,Even if; granted that,"遅れる[おくれる]にしても、電話[でんわ]くらいしてほしい。 / Even if you are going to be late, I want you to at least call. / 冗談[じょうだん]にしても、言って[いって]いいことと悪い[わるい]ことがある。 / Granted that it's a joke, there are good and bad things to say."
〜にしては,V / N + にしては,For a...; considering,"外国[がいこく]人[じん]にしては、日本語[にほんご]が上手[じょうず]だ。 / For a foreigner, their Japanese is very good. / 初めて[はじめて]作った[つくった]にしては、美味しく[おいしく]できた。 / Considering it was made for the first time, it turned out delicious."
〜にしろ / 〜にせよ,V / Adj / N + にしろ,Even if; regardless,"行く[いく]にしろ行かない[いかない]にしろ、明日[あした]までに返事[へんじ]をください。 / Regardless of whether you go or not, please give me a reply by tomorrow. / 何[なに]をするにせよ、一生懸命[いっしょうけんめい]やりなさい。 / Whatever you do, do it with all your might."
〜にすぎない,V (plain) / N + にすぎない,Merely; nothing more than,"私[わたし]はただの学生[がくせい]にすぎません。 / I am merely just a student. / 彼[かれ]が言っ[いっ]たのは、言い訳[いいわけ]にすぎない。 / What he said was nothing more than an excuse."
〜に相違ない,V / Adj / N + に相違[そうい]ない,Without a doubt; must be (formal),"犯人[はんにん]は彼[かれ]に相違[そうい]ない。 / Without a doubt, the culprit is him. / この計画[けいかく]は成功[せいこう]するに相違[そうい]ない。 / This plan is bound to succeed without a doubt."
〜に違いない,V / Adj / N + に違い[ちがい]ない,Definitely; must be,"あの車[くるま]は高い[たかい]に違い[ちがい]ない。 / That car must definitely be expensive. / 彼女[かのじょ]は今日[きょう]、忙しい[いそがしい]に違い[ちがい]ない。 / She must be busy today."
〜につれて,V-る / N + につれて,As; in proportion to,"時間[じかん]が経つ[たつ]につれて、悲しみ[かなしみ]が薄れ[うすれ]てきた。 / As time passed, the sadness faded. / 町[まち]の発展[はってん]につれて、自然[しぜん]が減っ[へっ]てしまった。 / In proportion to the town's development, nature decreased."
〜にとって,N + にとって,For; from the standpoint of,"私[わたし]にとって、家族[かぞく]が一番[いちばん]大切[たいせつ]だ。 / For me, my family is the most important. / 環境[かんきょう]にとって、プラスチックは良く[よく]ない。 / From the standpoint of the environment, plastic is not good."
〜に伴って,V-る / N + に伴って[ともなって],Along with; as a consequence of,"人口[じんこう]の増加[ぞうか]に伴って、住宅[じゅうたく]が不足[ふそく]している。 / Along with the population increase, there is a housing shortage. / 経済[けいざい]が成長[せいちょう]するに伴い、物価[ぶっか]も上がっ[あがっ]た。 / As a consequence of the economy growing, prices also went up."
〜に反して,N + に反して[はんして],Contrary to; against,"予想[よそう]に反して、テストは簡単[かんたん]だった。 / Contrary to my expectations, the test was easy. / 両親[りょうしん]の期待[きたい]に反して、大学[だいがく]を中退[ちゅうたい]した。 / Against my parents' expectations, I dropped out of university."
〜にほかならない,N + にほかならない,Nothing but; simply,"彼[かれ]が成功[せいこう]したのは、努力[どりょく]の結果[けっか]にほかならない。 / His success is simply the result of his effort. / この手紙[てがみ]は、私[わたし]の愛[あい]の証[あかし]にほかならない。 / This letter is nothing but the proof of my love."
〜にもかかわらず,V / Adj / N + にもかかわらず,In spite of; despite,"雨[あめ]が降っ[ふっ]ているにもかかわらず、試合[しあい]は行わ[おこなわ]れた。 / In spite of the rain falling, the game was held. / 熱[ねつ]があるにもかかわらず、彼[かれ]は働き[はたらき]に出[で]た。 / Despite having a fever, he went out to work."
〜に基づいて,N + に基づいて[もとづいて],Based on,"事実[じじつ]に基づいて、記事[きじ]を書い[かい]てください。 / Please write the article based on facts. / 法律[ほうりつ]に基づき、罰金[ばっきん]を払わ[はらわ]なければならない。 / Based on the law, you must pay a fine."
〜によって / 〜による,N + によって,By means of; due to; depending on (formal),"インターネットによって、世界中[せかいじゅう]の情報[じょうほう]が手[て]に入る[はいる]。 / By means of the internet, information from around the world can be obtained. / 不注意[ふちゅうい]によって、事故[じこ]が起き[おき]た。 / Due to carelessness, an accident occurred."
〜にわたって,N + にわたって,Over a period of; throughout,"３日間[みっかかん]にわたって、会議[かいぎ]が行わ[おこなわ]れた。 / The meeting was held over a period of 3 days. / 全国[ぜんこく]にわたって、インフルエンザが流行[りゅうこう]している。 / Influenza is spreading throughout the entire country."
〜ぬく,V-ます stem + ぬく,To do something completely to the end (through hardship),"彼[かれ]は最後[さいご]まで走り[はしり]ぬいた。 / He ran completely to the end. / 悩み[なやみ]ぬいて、結論[けつろん]を出[だ]した。 / I agonized to the end and reached a conclusion."
〜のみならず,V / Adj / N + のみならず,Not only... but also (formal),"この映画[えいが]は日本[にほん]のみならず、海外[かいがい]でも人気[にんき]がある。 / This movie is popular not only in Japan but also overseas. / 女性[じょせい]のみならず、男性[だんせい]も育児[いくじ]に参加[さんか]すべきだ。 / Not only women but also men should participate in childcare."
〜ばかりか / 〜ばかりでなく,V / Adj / N + ばかりか,Not only... but also,"彼[かれ]は英語[えいご]ばかりか、フランス語[ご]も話せる[はなせる]。 / He can speak not only English but also French. / このレストランは高い[たかい]ばかりか、美味しく[おいしく]ない。 / This restaurant is not only expensive, but also not delicious."
〜ばかりに,V-た / Adj-い / Nである + ばかりに,Simply because (resulted in a bad outcome),"お金[かね]がないばかりに、大学[だいがく]に行け[いけ]なかった。 / Simply because I had no money, I couldn't go to university. / 油断[ゆだん]したばかりに、試合[しあい]に負け[まけ]てしまった。 / I lost the game simply because I let my guard down."
〜はともかく,N + はともかく（として）,Setting aside; whether or not,"味[あじ]はともかく、見た目[みため]はきれいだ。 / Setting the taste aside, the appearance is beautiful. / 値段[ねだん]はともかく、デザインが気に入っ[きにいっ]た。 / Whether the price is good or not, I liked the design."
〜はもちろん / 〜はもとより,N + はもちろん,Not to mention; let alone,"彼[かれ]は漢字[かんじ]はもちろん、ひらがなも書け[かけ]ない。 / Let alone kanji, he can't even write hiragana. / 日曜日[にちようび]はもとより、平日[へいじつ]も忙しい[いそがしい]。 / Not to mention Sundays, I am busy on weekdays too."
